"Rank","Player","Team","Positions","Yahoo","ESPN","CBS","AVG"
"1","Nikola Jokic","DEN","C DTD","1","1","1","1.0"
"2","Luka Doncic","DAL","PG","2","3","3","2.7"
"3","Giannis Antetokounmpo","MIL","PF,C","6","2","2","3.3"
"4","Joel Embiid","PHI","C","3","5","4","4.0"
"5","Jayson Tatum","BOS","SF,PF","4","4","6","4.7"
"6","Shai Gilgeous-Alexander","OKC","PG,SG","5","6","5","5.3"
"7","Stephen Curry","GSW","PG,SG","7","8","9","8.0"
"8","Tyrese Haliburton","IND","PG,SG","8","7","10","8.3"
"9","Damian Lillard","MIL","PG","10","11","7","9.3"
"10","Kevin Durant","PHO","SF,PF","9","15","8","10.7"
"11","Domantas Sabonis","SAC","PF,C","15","10","11","12.0"
"12","Anthony Davis","LAL","PF,C DTD","12","17","13","14.0"
"13","Anthony Edwards","MIN","SG,SF","14","9","20","14.3"
"14","Trae Young","ATL","PG","17","14","12","14.3"
"15","LaMelo Ball","CHA","PG,SG","11","19","16","15.3"
"16","Devin Booker","PHO","SF,SG OUT","16","13","18","15.7"
"17","LeBron James","LAL","PF,SF","23","12","14","16.3"
"18","Donovan Mitchell","CLE","PG,SG DTD","18","18","21","19.0"
"19","Victor Wembanyama","SAS","C,PF","25","20","15","20.0"
"20","Kyrie Irving","DAL","PG,SG","13","24","27","21.3"
"21","Mikal Bridges","BKN","SG,SF","19","16","30","21.7"
"22","Pascal Siakam","TOR","PF,C","29","26","17","24.0"
"23","Jimmy Butler","MIA","PF,SF DTD","24","29","22","25.0"
"24","Karl-Anthony Towns","MIN","C,PF","21","36","23","26.7"
"25","De'Aaron Fox","SAC","PG OUT","38","25","24","29.0"
"26","Bam Adebayo","MIA","C DTD","32","27","29","29.3"
"27","Lauri Markkanen","UTH","PF,SF","26","23","43","30.7"
"28","Dejounte Murray","ATL","PG,SG","33","31","33","32.3"
"29","Jalen Brunson","NYK","PG,SG","36","21","42","33.0"
"30","Jaren Jackson Jr.","MEM","PF,C","20","34","46","33.3"
"31","Nikola Vucevic","CHI","C","44","28","28","33.3"
"32","Jaylen Brown","BOS","SG,SF","35","35","31","33.7"
"33","DeMar DeRozan","CHI","SF,SG DTD","45","30","32","35.7"
"34","Kawhi Leonard","LAC","PF,SF,SG","27","40","41","36.0"
"35","Julius Randle","NYK","PF","54","38","19","37.0"
"36","Darius Garland","CLE","PG DTD","39","39","34","37.3"
"37","Zion Williamson","NOR","C,PF OUT","55","33","25","37.7"
"38","James Harden","LAC","PG,SG","30","45","38","37.7"
"39","Kristaps Porzingis","BOS","PF,C DTD","43","37","35","38.3"
"40","Jordan Poole","WAS","PG,SG","46","22","48","38.7"
"41","Brandon Ingram","NOR","PF,SF,SG OUT","53","42","26","40.3"
"42","Desmond Bane","MEM","SF,SG","22","46","55","41.0"
"43","Cade Cunningham","DET","PG,SG","34","43","47","41.3"
"44","Jamal Murray","DEN","PG,SG OUT","40","44","40","41.3"
"45","Fred VanVleet","HOU","PG","28","59","39","42.0"
"46","Paul George","LAC","SF,PF,SG","31","50","45","42.0"
"47","Paolo Banchero","ORL","PF,SF","59","32","37","42.7"
"48","Zach LaVine","CHI","SG,SF DTD","50","41","44","45.0"
"49","Evan Mobley","CLE","C,PF","41","51","50","47.3"
"50","Scottie Barnes","TOR","SF,PF","49","47","54","50.0"
"51","Jrue Holiday","BOS","PG,SG","42","53","60","51.7"
"52","Chet Holmgren","OKC","C,PF","47","55","56","52.7"
"53","Josh Giddey","OKC","PF,PG,SF,SG","60","48","51","53.0"
"54","Deandre Ayton","POR","C","48","61","53","54.0"
"55","Tyrese Maxey","PHI","PG,SG","58","49","63","56.7"
"56","Ja Morant","MEM","PG SUS","76","63","36","58.3"
"57","Myles Turner","IND","C","37","65","77","59.7"
"58","Bradley Beal","PHO","PG,SG DTD","62","72","49","61.0"
"59","Alperen Sengun","HOU","C","61","54","68","61.0"
"60","Walker Kessler","UTH","C DTD","52","64","76","64.0"
"61","Kyle Kuzma","WAS","SF,PF","79","52","62","64.3"
"62","Jarrett Allen","CLE","C DTD","57","70","71","66.0"
"63","Franz Wagner","ORL","PF,SF,SG","65","67","66","66.0"
"64","Rudy Gobert","MIN","C","63","79","57","66.3"
"65","CJ McCollum","NOR","PG,SG OUT","82","62","58","67.3"
"66","Tyus Jones","WAS","PG","78","58","70","68.7"
"67","Tyler Herro","MIA","PG,SG","68","68","74","70.0"
"68","Khris Middleton","MIL","PF,SF OUT","81","69","61","70.3"
"69","OG Anunoby","TOR","SF,SG DTD","51","83","79","71.0"
